county,cases,deaths,cfr_pct
Isiolo,431,59,13.69
Nandi,82,11,13.41
Mombasa,808,103,12.75
Baringo,264,33,12.5
Kitui,108,6,5.56
Busia,134,7,5.22
Kisumu,210,10,4.76
Nakuru,533,21,3.94
Siaya,1258,47,3.74
Kilifi,348,12,3.45
Embu,295,10,3.39
Lamu,241,8,3.32
Kwale,699,22,3.15
Nairobi,6465,144,2.23
Homa Bay,817,18,2.2
Wajir,4573,92,2.01
Makueni,200,4,2
Migori,1770,35,1.98
Machakos,940,17,1.81
Tana River,1391,24,1.73
Kiambu,853,14,1.64
Kirinyaga,369,6,1.63
Marsabit,2726,43,1.58
Narok,208,3,1.44
Bungoma,72,1,1.39
Elgeyo-Marakwet,147,2,1.36
Turkana,1507,20,1.33
West Pokot,873,11,1.26
Meru,645,8,1.24
Mandera,4164,51,1.22
Tanariver,756,9,1.19
Garissa,4560,47,1.03
Kajiado,1286,12,0.93
Bomet,260,2,0.77
Muranga,816,6,0.74
Uasin Gishu,136,1,0.74
Tharaka Nithi,1329,8,0.6
Vihiga,272,1,0.37
Murang'a,51,0,0
Nyeri,55,0,0
Trans Nzoia,63,0,0
